company,job,location,money
上海吾创信息科技有限公司,Python测试工程师,上海-浦东新区,0.8-1.1万/月
上海指玩网络科技有限公司,Python程序员(游戏开发),上海-浦东新区,0.8-2万/月
武汉华大国家数字化学习工程技术有...,Python软件工程师,武汉,6-8千/月
南京中一物联科技有限公司,python实习生,南京-鼓楼区,200元/天
西安图迹信息科技有限公司,Python开发,西安-高新技术...,4.5-6千/月
重庆爱海米科技有限公司,风控系统python研发工程师,上海-浦东新区,1-1.5万/月
成都路行通信息技术有限公司,高级Python研发工程师,成都-高新区,1.5-2万/月
康博嘉信息科技（北京）股份有限公...,Python开发工程师,武汉,4.5-6千/月
上海汇正财经顾问有限公司,Python开发工程师,上海,1-2万/月
深圳市风云实业有限公司,Python Web开发工程师,成都-青羊区,6-8千/月
苏州太谷电力股份有限公司,Python爬虫工程师,南京,0.8-1.2万/月
成都之维安科技股份有限公司,Python开发工程师,成都-武侯区,1-1.5万/月
杭州复杂美科技有限公司,区块链技术开发工程师（go-c++-Python ）,杭州-滨江区,20-50万/年
广东坤智科技有限公司,Python PyQt开发工程师,广州-天河区,4.5-7千/月
红上至信商务信息咨询（上海）有限...,Python爬虫工程师,西安-碑林区,0.8-1.5万/月
广州臣信网络科技有限公司,python开发工程师,广州-越秀区,0.6-1.2万/月
杭州劲创科技开发有限公司,Python算法开发,杭州-西湖区,4.5-6千/月
杭州轻触科技有限公司,Python开发工程师,杭州,1-2万/月
上海云深网络技术有限公司,Python开发工程师,上海-浦东新区,0.7-1.4万/月
上海维祥信息技术有限公司,Python高级开发工程师,上海-徐汇区,0.8-1.7万/月
上海举贤企业管理顾问有限公司,交易系统API编程及后台开发人员（熟悉Python优先）,上海-浦东新区,0.5-1万/月
网易集团,运维开发工程师（Python）,杭州,1-1.5万/月
南通成天软件科技有限公司,python爬虫开发工程师,南通,0.8-1万/月
昆山百诺信息科技有限公司,Python工程师,昆山,1-1.5万/月
明源软件,Python（高级&资深&leader）,深圳,1.8-3.5万/月
上海恒驰信息系统有限公司,Python开发工程师,上海-静安区,0.6-1.2万/月
广州佰聆数据股份有限公司,数据分析师（python）,广州-黄埔区,0.8-1万/月
深圳市凯利讯科技有限公司,Python数据采集网络爬虫工程师,深圳-福田区,6-8千/月
深圳市倍通供应链服务有限公司,软件开发工程师（C#/python）,深圳,0.8-1.5万/月
沈阳曙马科技有限公司,Python开发工程师,沈阳-浑南区,4.5-6千/月
奇虎360科技有限公司,Python高级开发工程师,北京,
完美世界（北京）总部/完美时空,python工程师,北京-朝阳区,1.5-2万/月
博答企业管理咨询（上海）有限公司,Python开发工程师,上海,1-1.5万/月
北京火星盒子科技有限公司,Python开发工程师,北京-朝阳区,2-4万/月
瞬联软件科技（北京）有限公司 CI...,Python Dev.,上海,0.9-1.7万/月
重庆讯云网络科技有限公司,python工程师,重庆-渝北区,1-2万/月
深圳市易贝通科技有限公司,Python开发实习生,深圳,4-6千/月
北京环宇万维科技有限公司,Python爬虫工程师-北京-00089,北京-朝阳区,1.5-2.5万/月
成都万创科技有限责任公司,高级软件工程师（Web MIS Python PHP）,成都,0.6-1万/月
上海催米网络科技有限公司,Python数据开发工程师,上海-浦东新区,0.4-1万/月
厦门万基生物科技有限公司,Python工程师,厦门,1-1.5万/月
森沐（深圳）网络科技有限公司,Python数据采集开发工程师,深圳-龙华新区,0.6-1万/月
四川君诚互动科技有限公司,数据python工程师,成都,1-1.5万/月
平安科技（深圳）有限公司,Python开发工程师（深圳）,深圳-福田区,1.5-3万/月
新华三技术有限公司,Python 开发工程师,杭州-滨江区,1.5-2.5万/月
深圳回收宝科技有限公司,Python开发工程师,深圳-南山区,1.5-2.2万/月
深圳市华付信息技术有限公司,python工程师,深圳-南山区,1-2万/月
北京译泰教育科技有限公司,平台工具研发工程师（python、java、php）,北京,1.5-2万/月
湖北全健运动健康产业孵化器有限公司,Python开发工程师,武汉-洪山区,4-6千/月
湖北华奥星空体育产业联盟发展有限...,python开发工程师,武汉-洪山区,4-6千/月
深圳易思网络技术有限公司,Python,深圳,20-30万/年
广州城北信息科技有限公司,Django / Python 开发工程师,广州-海珠区,4.5-6千/月
杉德支付网络服务发展有限公司,Python开发工程师,上海-徐汇区,1.5-2万/月
深圳市天彦通信技术有限公司重庆分...,Python开发工程师,重庆-渝北区,0.8-1.5万/月
深圳市腾讯计算机系统有限公司,25923-python后台开发工程师（深圳/上海）,上海,
吉利集团（总部）,Python开发工程师,杭州,0.8-1.5万/月
西安美吉健电子商务有限公司,Python开发工程师,西安,6-8千/月
上海互教教育科技有限公司,Python高级开发工程师,上海-浦东新区,1.2-2万/月
深圳市涌浪网络技术有限公司,Python工程师（爬虫方向）,深圳-南山区,1-2万/月
青岛英谷教育科技股份有限公司,python研发工程师/讲师 五险一金 周末双休,青岛-崂山区,0.8-1万/月
上海岂安信息科技有限公司,Python研发工程师,上海-徐汇区,1.5-3万/月
上海云角信息技术有限公司,初级Python开发工程师,上海-徐汇区,1-1.5万/月
北京红枣科技有限公司,python初级开发工程师,北京-朝阳区,6-8千/月
广州国机智能电力科技有限公司,Python开发工程师,广州-黄埔区,0.9-1.5万/月
鲁信睿浩,Python高级开发工程师 - AAM703,广州,1.2-2.6万/月
深圳开黑科技有限公司,高级Python开发工程师,深圳-南山区,1.6-3万/月
绫致时装（天津）有限公司,Python高级开发工程师,北京,
戴尔（中国）有限公司,高级软件工程师-C，python,上海,2-2.5万/月
上海爱当家数据技术有限公司,Python高级开发工程师,上海-浦东新区,2-3万/月
北京比特大陆科技有限公司,Python/Go开发工程师-北京-00395,北京-海淀区,1-2.5万/月
上海东方低碳科技产业股份有限公司,python开发工程师,上海-长宁区,0.8-1万/月
深圳市艾鑫承科技有限公司,Python开发工程师,深圳-罗湖区,1-1.5万/月
重庆江小白酒业有限公司,数据挖掘工程师（python）,重庆-渝北区,0.7-1.1万/月
龙铁纵横（北京）轨道交通科技股份...,Python工程师（django）,北京,0.8-1.2万/月
广州智能科技发展有限公司,Python开发工程师,广州,0.6-1万/月
黑龙江万通文化传媒有限公司,运维&Python开发助理人员,哈尔滨,4.5-6千/月
广州闪风猫网络科技有限公司,Python开发工程师,广州-番禺区,6-8千/月
图丰信息（成都）有限责任公司,Python Developer,成都-金牛区,0.8-1.5万/月
深圳市云充吧科技有限公司,Python开发工程师,北京-朝阳区,1-2万/月
杭州国辰机器人科技有限公司,Python开发工程师,杭州-萧山区,12-20万/年
北京千锋互联科技有限公司,python讲师,北京,2.5-3万/月
浙江居正资产管理有限公司,Python开发工程师(量化方向),杭州-上城区,1-2万/月
上海凭安征信服务有限公司,Python爬虫开发工程师,上海-长宁区,0.8-1.5万/月
北京易讯理想科技有限公司,Python开发工程师,成都-高新区,0.8-1.2万/月
深圳市爱能森科技有限公司,Python开发工程师,南京-雨花台区,0.7-1万/月
杭州顶真医药科技有限公司,python/爬虫工程师,杭州-余杭区,0.8-1.2万/月
数云信息技术（上海）有限公司,python开发工程师（爬虫方向）,上海,1.5-2万/月
湖南天云软件技术有限公司,Java/Python开发工程师,长沙,0.8-1.5万/月
山东星维九州安全技术有限公司,Python开发工程师,青岛-市南区,0.5-1万/月
沈阳天骐科技有限公司,高级Python开发工程师,沈阳-沈河区,0.8-1万/月
北京深蓝海域信息科技有限公司,Python工程师,成都,0.8-1万/月
广州回头车信息科技有限公司,Python开发工程师,广州-天河区,1.2-1.8万/月
银谷普惠信息咨询（北京）有限公司,python爬虫工程师,北京-朝阳区,1-2万/月
西安腾瑞信息科技有限公司,Python开发工程师/助理,西安,4-8千/月
盘石软件（上海）有限公司,python 开发工程师,上海-普陀区,7-9千/月
沈阳焱展信息技术有限公司,系统运维-Python模块,沈阳,4-6千/月
成都云幽科技有限公司,Python培训讲师,成都-高新区,0.7-1.5万/月
深圳前海橙色魔方信息技术有限公司,Python程序员,深圳-南山区,0.9-1.3万/月
上海臻战电子科技/Wargaming,UI Programmer/UI 程序员(Python/C++),上海-黄浦区,1.5-2万/月
沈阳吉塔思软件有限公司,Python高级开发工程师,沈阳,0.8-1.5万/月
杭州奕安济世生物药业有限公司,Python工程师,杭州-江干区,1-2万/月
杭州趣编网络科技有限公司,Python开发工程师,杭州-滨江区,0.6-1.3万/月
亚创博彦（上海）信息技术有限公司,Python开发工程师,上海-长宁区,1-2万/月
北京亿维鸿科技有限公司,Python数据开发工程师,北京-朝阳区,5-9千/月
御见思惟（北京）信息科技有限公司,后端架构师（Python/Go）,北京-朝阳区,1.5-2万/月
上海拓攻机器人有限公司,Python开发工程师,南京-雨花台区,0.8-1.5万/月
上海领旗信息科技有限公司,Python 开发工作,上海-浦东新区,1-1.5万/月
宁波创母体网络科技有限公司,"Python, Swift, Java 软件工程师 应届毕业生",宁波,4-6千/月
上海清鹤科技股份有限公司,后台开发工程师（Python、C++）,上海-浦东新区,1.5-2万/月
江森自控（中国）投资有限公司,Python开发工程师(面向2018届毕业生),北京,0.8-1万/月
上海讯实网络科技有限公司,Python爬虫工程师,南京,6-8千/月
辽宁自由人国际旅行社有限公司,Python开发工程师,大连-高新园区,6-8千/月
北京商高科技有限公司,python后端工程师,北京-丰台区,1.5-2万/月
山东远思信息科技有限公司,Python开发工程师,济南-高新区,6-8千/月
