company,job,location,money
上海典游通讯技术有限公司,Python资深开发工程师,上海,0.8-2万/月
武汉云客易在线科技有限公司,python/c++软件开发工程师,上海,4.5-6千/月
武汉科思沃斯教育科技有限公司,Python讲师,武汉,0.8-1万/月
北京开维创科技有限公司,Python开发工程师,北京-海淀区,1-1.5万/月
苏州英普思软件有限公司,python 算法工程师（8k-10k）,苏州-吴江区,0.8-1万/月
上海达内为上软件科技有限公司,Python项目经理,昆明-官渡区,0.5-1万/月
辽宁中嘉博众教育科技有限公司,Python方向讲师,沈阳-浑南区,0.8-1万/月
上海岳城教育科技有限公司,（10-15k）python讲师-徐家汇,上海-徐汇区,1-1.5万/月
浙江清华柔性电子技术研究院,Python开发工程师,嘉兴,1-1.5万/月
维升（天津）企业管理有限公司,Python开发工程师,北京-朝阳区,30-40万/年
江苏友趣网络科技有限公司,Python开发工程师,南京-雨花台区,0.6-1万/月
杭州沃瑞电力科技有限公司,Python开发工程师,杭州,0.7-1.5万/月
北京华数康数据科技有限公司,Python后端开发,上海,1.5-2万/月
广州启法信息科技有限公司,急招Python工程师,广州-天河区,0.6-1.2万/月
北京聚思信息咨询有限公司,Python工程师,沈阳-和平区,6-8千/月
珠海市精实测控技术有限公司,Python助理工程师,珠海-斗门区,6-8千/月
凯易讯网络技术开发（南京）有限公司,"实习生_自动化测试(Network, Python)",南京,200元/天
浙江百先得服饰有限公司,PYTHON/PHP程序员,温州,4-8千/月
深圳市悦动天下科技有限公司,python后台开发工程师,深圳-南山区,1-2万/月
深圳市中顺和盈科技有限公司,Python爬虫工程师,深圳-南山区,1.5-2.5万/月
北京微迅联创科技有限公司,Python开发工程师,北京-朝阳区,2.5-3.5万/月
上海你我贷互联网金融信息服务有限...,Python开发工程师,上海-浦东新区,1-2万/月
北京千锋互联科技有限公司深圳分公司,Python讲师,深圳-宝安区,1.5-3万/月
上海抱元网络科技有限公司,Python高级开发工程师,上海-徐汇区,1-1.5万/月
深圳市中企工联保家电服务有限公司,python工程师,深圳-龙岗区,0.5-1万/月
武汉网臻科技有限公司,Python开发工程师,武汉-洪山区,0.8-1万/月
北京八维研修学院,Python开发工程师,北京-海淀区,1-1.5万/月
上海梦创双杨数据科技股份有限公司,Python开发工程师,上海-静安区,0.8-1万/月
上海擎云物联网股份有限公司,python开发工程师,上海-闵行区,6-8千/月
南京睿毅云信息技术有限公司,Python开发工程师,南京-玄武区,1.5-2万/月
南京世和基因生物技术有限公司,python后端开发工程师,南京-浦口区,0.7-1.4万/月
广州机智云物联网科技有限公司,Python开发工程师,广州-天河区,1-1.8万/月
广州创必承信息科技有限公司,Python开发工程师,广州-海珠区,0.8-1万/月
广州云移信息科技有限公司,Python开发工程师,深圳-福田区,1.2-2万/月
武汉网上网科技有限公司,Odoo & Python 工程师,武汉,0.8-1.2万/月
湖南大唐先一科技有限公司,python程序员（监控软件部）,长沙,6-8千/月
上海量锐信息科技有限公司,高级Python开发工程师,上海-黄浦区,1.5-2万/月
江苏一道云科技发展有限公司,Python开发工程师,无锡,6-8千/月
易虎网科技南京股份有限公司,Python开发工程师,南京-江宁区,1-1.5万/月
孤岛（上海）软件有限公司,erlang/python服务器开发工程师,上海-徐汇区,1.5-3.5万/月
Transcosmos,Python开发工程师,上海-静安区,1-1.5万/月
雷技信息科技（上海）有限公司,Python开发工程师（参与公司内部开发或外派外企开发）,上海-浦东新区,1.5-2万/月
赛业（广州）生物科技有限公司,Python开发工程师,广州,6-8千/月
绿盟科技,Python开发工程师J10665,武汉,1-1.5万/月
上海腾科网络技术有限公司,Python 讲师,上海,0.8-1.5万/月
湖南智思电子商务有限公司,Python开发工程师,长沙-天心区,1-1.5万/月
上海皓维电子股份有限公司,C++/Python开发工程师,上海-嘉定区,0.7-2万/月
中驰车福电子商务有限公司,数据抓取及处理工程师（python方向）,北京-海淀区,0.8-1.2万/月
